ID,FAMILY,SEX,LSB,LSW,COHORT,area1,area6,area2,area3,area4,area5,area7,A1,A2,A3,A4,A5
634,22,F,12,12,1,0.3587081604,0.9725402887,4.692075912,4.7551857844,9.4673911949,8.6068288005,0.9725402887,1,-1,1,0,-1
635,22,M,12,12,1,0.5019496005,0.8384549228,6.27426921140904,4.92774683065365,11.2105047001672,9.3394908054917,0.914740830475603,0,-1,1,1,-1
636,22,M,12,12,1,0.4874141776,0.9276912836,5.6061368858,5.2768048789,11.2780271931,9.743799316,0.9276912836,1,0,1,0,0
637,37,M,9,12,1,0.533853989,0.9853373952,4.9635350287,4.9986555195,11.2389427436,9.3058623141,0.9853373952,0,-1,-1,0,1
638,22,F,12,12,1,0.3159229483,0.8130248149,5.1425709852,4.4468481623,9.4441641772,8.4495319554,0.8130248149,0,0,0,0,-1
639,22,F,12,12,1,0.5394436747,1.0248315656,5.1645499888,4.7968303282,10.3934247796,9.2193925154,1.0248315656,0,-1,0,0,-1
640,1,M,10,10,1,0.5657914749,0.8709349485,5.6664420517,4.6532233246,10.4661144137,9.1294170036,0.8709349485,0,0,0,0,0
641,1,F,10,10,1,0.4324868885,0.9831070755,5.3390223364,4.7055784091,10.9347706175,9.7596510946,0.9831070755,0,0,0,0,0
642,1,M,10,10,1,0.4683411688,0.9514662915,6.0083501746,4.5195982461,10.2913856033,9.0597129139,0.9514662915,0,1,0,0,0
643,4,M,11,10,1,0.3867954246,0.9988694013,6.0240199327,5.0479589041,11.7174248888,9.8251715026,0.9988694013,0,0,0,0,0
644,4,F,11,10,1,0.423452981,0.9070329325,5.34572379989096,4.78284359524636,11.4016279567328,9.3899461694083,0.830747024824397,0,1,0,-1,0
645,4,F,11,10,1,0.5927450196,1.1167250551,5.58290911140904,5.62388140505365,12.8969504658672,11.1332690693917,1.1930109627756,0,-1,1,1,0
646,4,F,11,10,1,0.6149409653,1.0399893243,4.94143125739096,5.76059083214636,12.2535088678328,10.2685874326083,0.963703416624397,1,0,1,-1,0
647,1,F,10,10,1,0.373202283,1.0319387445,4.890834839,4.7184278905,10.5704936894,9.2713283286,1.0319387445,0,1,0,0,1
